"id","area","path","line","kind","qualifiedName","signature","classification","entryAnchor","status","sourceFingerprint","rationale","reviewedAt"
"cpp:src/backend/cpp/basic.cpp:__anonb26573180111","cpp","src/backend/cpp/basic.cpp","14","namespace","__anonb26573180111","","deep","cpp:src/backend/cpp/basic.cpp:__anonb26573180111","reviewed","81ff88448f77b4f2c2dc1fee9ab548e8e4ec77f21ff7b50cfc1a2cdb2ca6d290","Exact token, filesystem, stream, template, diagnostic, failure, and test contracts in handbook Section 14.153.","2026-07-18"
"cpp:src/backend/cpp/basic.cpp:__anonb26573180111#is_path_separator(const char c)","cpp","src/backend/cpp/basic.cpp","16","function","__anonb26573180111#is_path_separator","(const char c)","deep","cpp:src/backend/cpp/basic.cpp:__anonb26573180111#is_path_separator(const char c)","reviewed","81ff88448f77b4f2c2dc1fee9ab548e8e4ec77f21ff7b50cfc1a2cdb2ca6d290","Exact token, filesystem, stream, template, diagnostic, failure, and test contracts in handbook Section 14.153.","2026-07-18"
"cpp:src/backend/cpp/basic.cpp:__anonb26573180111#create_directory_if_missing(const std::string & path)","cpp","src/backend/cpp/basic.cpp","20","function","__anonb26573180111#create_directory_if_missing","(const std::string & path)","deep","cpp:src/backend/cpp/basic.cpp:__anonb26573180111#create_directory_if_missing(const std::string & path)","reviewed","81ff88448f77b4f2c2dc1fee9ab548e8e4ec77f21ff7b50cfc1a2cdb2ca6d290","Exact token, filesystem, stream, template, diagnostic, failure, and test contracts in handbook Section 14.153.","2026-07-18"
"cpp:src/backend/cpp/basic.cpp:__anonb26573180111#create_parent_directories(const std::string & path)","cpp","src/backend/cpp/basic.cpp","36","function","__anonb26573180111#create_parent_directories","(const std::string & path)","deep","cpp:src/backend/cpp/basic.cpp:__anonb26573180111#create_parent_directories(const std::string & path)","reviewed","81ff88448f77b4f2c2dc1fee9ab548e8e4ec77f21ff7b50cfc1a2cdb2ca6d290","Exact token, filesystem, stream, template, diagnostic, failure, and test contracts in handbook Section 14.153.","2026-07-18"
"cpp:src/backend/cpp/basic.cpp:split(const std::string & str,const std::string & delims)","cpp","src/backend/cpp/basic.cpp","68","function","split","(const std::string & str,const std::string & delims)","deep","cpp:src/backend/cpp/basic.cpp:split(const std::string & str,const std::string & delims)","reviewed","81ff88448f77b4f2c2dc1fee9ab548e8e4ec77f21ff7b50cfc1a2cdb2ca6d290","Exact token, filesystem, stream, template, diagnostic, failure, and test contracts in handbook Section 14.153.","2026-07-18"
"cpp:src/backend/cpp/basic.cpp:open_file_read(const std::string & path)","cpp","src/backend/cpp/basic.cpp","79","function","open_file_read","(const std::string & path)","deep","cpp:src/backend/cpp/basic.cpp:open_file_read(const std::string & path)","reviewed","81ff88448f77b4f2c2dc1fee9ab548e8e4ec77f21ff7b50cfc1a2cdb2ca6d290","Exact token, filesystem, stream, template, diagnostic, failure, and test contracts in handbook Section 14.153.","2026-07-18"
"cpp:src/backend/cpp/basic.cpp:open_file_write(const std::string & path)","cpp","src/backend/cpp/basic.cpp","96","function","open_file_write","(const std::string & path)","deep","cpp:src/backend/cpp/basic.cpp:open_file_write(const std::string & path)","reviewed","81ff88448f77b4f2c2dc1fee9ab548e8e4ec77f21ff7b50cfc1a2cdb2ca6d290","Exact token, filesystem, stream, template, diagnostic, failure, and test contracts in handbook Section 14.153.","2026-07-18"
"cpp:src/backend/cpp/basic.cpp:read_file(const std::string & path)","cpp","src/backend/cpp/basic.cpp","112","function","read_file","(const std::string & path)","deep","cpp:src/backend/cpp/basic.cpp:read_file(const std::string & path)","reviewed","81ff88448f77b4f2c2dc1fee9ab548e8e4ec77f21ff7b50cfc1a2cdb2ca6d290","Exact token, filesystem, stream, template, diagnostic, failure, and test contracts in handbook Section 14.153.","2026-07-18"
"cpp:src/backend/cpp/bounding_inequalities.cpp:calculate_angles(const std::vector<std::pair<CodeNumber,XYZ>> & code_nums_angles)","cpp","src/backend/cpp/bounding_inequalities.cpp","7","function","calculate_angles","(const std::vector<std::pair<CodeNumber,XYZ>> & code_nums_angles)","deep","bounding-inequalities","reviewed","410a1d35e278cc758063ff53fd2f39988c3b4652cf769ba073b61a86e2abed10","Source-order entry derives angle recurrence parity quartets Fourier-Motzkin elimination concurrency code-edit effects and Abdul buffer failure.","2026-07-16"
"cpp:src/backend/cpp/bounding_inequalities.cpp:calculate_even_equations(const CodeNumber code_number,const XYZ code_angle,const LinComArrZ<XYEtaPhi> & theta)","cpp","src/backend/cpp/bounding_inequalities.cpp","43","function","calculate_even_equations","(const CodeNumber code_number,const XYZ code_angle,const LinComArrZ<XYEtaPhi> & theta)","deep","bounding-inequalities","reviewed","410a1d35e278cc758063ff53fd2f39988c3b4652cf769ba073b61a86e2abed10","Source-order entry derives angle recurrence parity quartets Fourier-Motzkin elimination concurrency code-edit effects and Abdul buffer failure.","2026-07-16"
"cpp:src/backend/cpp/bounding_inequalities.cpp:calculate_odd_equations(const CodeNumber code_number,const XYZ code_angle,const LinComArrZ<XYEtaPhi> & theta)","cpp","src/backend/cpp/bounding_inequalities.cpp","76","function","calculate_odd_equations","(const CodeNumber code_number,const XYZ code_angle,const LinComArrZ<XYEtaPhi> & theta)","deep","bounding-inequalities","reviewed","410a1d35e278cc758063ff53fd2f39988c3b4652cf769ba073b61a86e2abed10","Source-order entry derives angle recurrence parity quartets Fourier-Motzkin elimination concurrency code-edit effects and Abdul buffer failure.","2026-07-16"
"cpp:src/backend/cpp/bounding_inequalities.cpp:remove_phi(const LinComArrZ<XYEtaPhi> & equation)","cpp","src/backend/cpp/bounding_inequalities.cpp","109","function","remove_phi","(const LinComArrZ<XYEtaPhi> & equation)","deep","bounding-inequalities","reviewed","410a1d35e278cc758063ff53fd2f39988c3b4652cf769ba073b61a86e2abed10","Source-order entry derives angle recurrence parity quartets Fourier-Motzkin elimination concurrency code-edit effects and Abdul buffer failure.","2026-07-16"
"cpp:src/backend/cpp/bounding_inequalities.cpp:eliminate_phi(const std::set<LinComArrZ<XYEtaPhi>> & positive_phi,const std::set<LinComArrZ<XYEtaPhi>> & negative_phi)","cpp","src/backend/cpp/bounding_inequalities.cpp","127","function","eliminate_phi","(const std::set<LinComArrZ<XYEtaPhi>> & positive_phi,const std::set<LinComArrZ<XYEtaPhi>> & negative_phi)","deep","bounding-inequalities","reviewed","410a1d35e278cc758063ff53fd2f39988c3b4652cf769ba073b61a86e2abed10","Source-order entry derives angle recurrence parity quartets Fourier-Motzkin elimination concurrency code-edit effects and Abdul buffer failure.","2026-07-16"
"cpp:src/backend/cpp/bounding_inequalities.cpp:eliminate_phi#__anon030b97780102","cpp","src/backend/cpp/bounding_inequalities.cpp","154","function","eliminate_phi#__anon030b97780102","","deep","bounding-inequalities","reviewed","410a1d35e278cc758063ff53fd2f39988c3b4652cf769ba073b61a86e2abed10","Source-order entry derives angle recurrence parity quartets Fourier-Motzkin elimination concurrency code-edit effects and Abdul buffer failure.","2026-07-16"
"cpp:src/backend/cpp/bounding_inequalities.cpp:first_inequalities(const std::vector<std::pair<CodeNumber,XYZ>> & code_nums_angles)","cpp","src/backend/cpp/bounding_inequalities.cpp","202","function","first_inequalities","(const std::vector<std::pair<CodeNumber,XYZ>> & code_nums_angles)","deep","bounding-inequalities","reviewed","410a1d35e278cc758063ff53fd2f39988c3b4652cf769ba073b61a86e2abed10","Source-order entry derives angle recurrence parity quartets Fourier-Motzkin elimination concurrency code-edit effects and Abdul buffer failure.","2026-07-16"
"cpp:src/backend/cpp/bounding_inequalities.cpp:first_inequalities#__anon030b97780202","cpp","src/backend/cpp/bounding_inequalities.cpp","227","function","first_inequalities#__anon030b97780202","","deep","bounding-inequalities","reviewed","410a1d35e278cc758063ff53fd2f39988c3b4652cf769ba073b61a86e2abed10","Source-order entry derives angle recurrence parity quartets Fourier-Motzkin elimination concurrency code-edit effects and Abdul buffer failure.","2026-07-16"
"cpp:src/backend/cpp/bounding_inequalities.cpp:calculate_bounding_inequalities(const std::vector<CodeNumber> & code_numbers,const std::vector<XYZ> & code_angles)","cpp","src/backend/cpp/bounding_inequalities.cpp","271","function","calculate_bounding_inequalities","(const std::vector<CodeNumber> & code_numbers,const std::vector<XYZ> & code_angles)","deep","bounding-inequalities","reviewed","410a1d35e278cc758063ff53fd2f39988c3b4652cf769ba073b61a86e2abed10","Source-order entry derives angle recurrence parity quartets Fourier-Motzkin elimination concurrency code-edit effects and Abdul buffer failure.","2026-07-16"
"cpp:src/backend/cpp/bounding_inequalities.cpp:calculate_bounding_inequalities#__anon030b97780302() ","cpp","src/backend/cpp/bounding_inequalities.cpp","274","function","calculate_bounding_inequalities#__anon030b97780302","() ","deep","bounding-inequalities","reviewed","410a1d35e278cc758063ff53fd2f39988c3b4652cf769ba073b61a86e2abed10","Source-order entry derives angle recurrence parity quartets Fourier-Motzkin elimination concurrency code-edit effects and Abdul buffer failure.","2026-07-16"
"cpp:src/backend/cpp/bounding_region.cpp:intersection(const LinComArrZ<XYEta> & line1,const LinComArrZ<XYEta> & line2)","cpp","src/backend/cpp/bounding_region.cpp","4","function","intersection","(const LinComArrZ<XYEta> & line1,const LinComArrZ<XYEta> & line2)","deep","exact-bounding-region","reviewed","53e7ef7c08c90ddd7b056107d8c42a3e606e73f5dc4cb0933ebd74cda4ea9844","Source-order entry covers exact representation Cramer intersection all unstable and polygon sign cases strict-open semantics orientation and tests.","2026-07-16"
"cpp:src/backend/cpp/bounding_region.cpp:line_sign_at_point(const LinComArrZ<XYEta> & equation,const PointQ & point)","cpp","src/backend/cpp/bounding_region.cpp","52","function","line_sign_at_point","(const LinComArrZ<XYEta> & equation,const PointQ & point)","deep","exact-bounding-region","reviewed","53e7ef7c08c90ddd7b056107d8c42a3e606e73f5dc4cb0933ebd74cda4ea9844","Source-order entry covers exact representation Cramer intersection all unstable and polygon sign cases strict-open semantics orientation and tests.","2026-07-16"
"cpp:src/backend/cpp/bounding_region.cpp:CASE1(x,y,z)","cpp","src/backend/cpp/bounding_region.cpp","82","macro","CASE1","(x,y,z)","deep","exact-bounding-region","reviewed","53e7ef7c08c90ddd7b056107d8c42a3e606e73f5dc4cb0933ebd74cda4ea9844","Source-order entry covers exact representation Cramer intersection all unstable and polygon sign cases strict-open semantics orientation and tests.","2026-07-16"
"cpp:src/backend/cpp/bounding_region.cpp:initial_line_segment(const LinComArrZ<XYEta> & constraint)","cpp","src/backend/cpp/bounding_region.cpp","91","function","initial_line_segment","(const LinComArrZ<XYEta> & constraint)","deep","exact-bounding-region","reviewed","53e7ef7c08c90ddd7b056107d8c42a3e606e73f5dc4cb0933ebd74cda4ea9844","Source-order entry covers exact representation Cramer intersection all unstable and polygon sign cases strict-open semantics orientation and tests.","2026-07-16"
"cpp:src/backend/cpp/bounding_region.cpp:CASE2(x,y)","cpp","src/backend/cpp/bounding_region.cpp","373","macro","CASE2","(x,y)","deep","exact-bounding-region","reviewed","53e7ef7c08c90ddd7b056107d8c42a3e606e73f5dc4cb0933ebd74cda4ea9844","Source-order entry covers exact representation Cramer intersection all unstable and polygon sign cases strict-open semantics orientation and tests.","2026-07-16"
"cpp:src/backend/cpp/bounding_region.cpp:refine_line_segment(const LinComArrZ<XYEta> & line,const RationalLineSegment & line_segment,const LinComArrZ<XYEta> & constraint)","cpp","src/backend/cpp/bounding_region.cpp","375","function","refine_line_segment","(const LinComArrZ<XYEta> & line,const RationalLineSegment & line_segment,const LinComArrZ<XYEta> & constraint)","deep","exact-bounding-region","reviewed","53e7ef7c08c90ddd7b056107d8c42a3e606e73f5dc4cb0933ebd74cda4ea9844","Source-order entry covers exact representation Cramer intersection all unstable and polygon sign cases strict-open semantics orientation and tests.","2026-07-16"
