1  - CS   (62, 804) 1 5 20 4 20 4 16 4 24 6 30 6 28 6 27 1 6 1 27 6 28 6 30 6 24 4 16 4 20 4 20 5 1 29 6 28 6 28 6 28 6 28 4 10 2 8 2 12 2 8 2 10 4 28 6 28 6 28 6 28 6 29 OOEEEEEEEEEEEEOOEOOEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEO
2  - CS   (100, 1116) 1 5 22 4 16 4 22 4 14 2 8 4 28 6 29 1 5 22 4 16 4 22 5 1 30 1 5 22 4 16 4 22 4 14 2 8 4 28 6 29 1 5 22 4 16 4 22 5 1 30 1 5 22 4 16 4 22 5 1 29 6 28 4 8 2 14 4 22 4 16 4 22 5 1 30 1 5 22 4 16 4 22 5 1 29 6 28 4 8 2 14 4 22 4 16 4 22 5 1 30 OOEEEEEEEEEEEEOOOEEEEEOOEOOEEEEEEEEEEEEOOOEEEEEOOEOOEEEEEOOOEEEEEEEEEEEEOOEOOEEEEEOOOEEEEEEEEEEEEOOE
3  - CS   (116, 1412) 1 5 24 4 14 4 24 4 12 2 10 4 26 6 31 1 5 24 4 14 4 24 5 1 32 1 5 24 4 14 4 24 4 12 2 10 4 26 6 31 1 5 24 4 14 4 24 6 32 6 24 5 1 31 6 26 6 30 6 26 6 31 1 5 24 6 32 6 24 4 14 4 24 5 1 31 6 26 4 10 2 12 4 24 4 14 4 24 5 1 32 1 5 24 4 14 4 24 5 1 31 6 26 4 10 2 12 4 24 4 14 4 24 5 1 32 OOEEEEEEEEEEEEOOOEEEEEOOEOOEEEEEEEEEEEEOOOEEEEEEEEEOOOEEEEEEEOOOEEEEEEEEEOOOEEEEEEEEEEEEOOEOOEEEEEOOOEEEEEEEEEEEEOOE
4  - CS   (132, 1524) 1 5 20 2 2 2 16 4 22 5 1 31 6 24 4 14 2 6 2 12 2 6 2 14 2 4 2 16 4 22 5 1 30 1 5 22 5 1 29 6 28 6 28 6 29 1 5 22 5 1 30 1 5 22 4 16 2 4 2 14 2 6 2 12 2 6 2 14 4 24 6 31 1 5 22 4 16 2 2 2 20 5 1 29 6 28 6 28 6 28 6 29 1 5 20 4 20 4 16 4 24 6 30 6 28 6 28 6 28 6 28 6 30 6 24 4 16 4 20 4 20 5 1 29 6 28 6 28 6 28 6 29 OOEEEEEEEOOOEEEEEEEEEEEEEEEEEEOOEOOEOOOEEEEEOOOEOOEOOEEEEEEEEEEEEEEEEEEOOOEEEEEEEOOOEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEO
5  - CS   (148, 1524) 1 5 20 2 2 2 16 4 22 5 1 31 6 24 4 14 2 6 2 12 2 6 2 14 2 4 2 16 4 22 5 1 30 1 5 22 5 1 29 6 28 6 28 6 29 1 5 22 5 1 30 1 5 22 4 16 2 4 2 14 2 6 2 12 2 6 2 14 4 24 6 31 1 5 22 4 16 2 2 2 20 5 1 29 6 28 6 28 6 28 6 29 1 5 20 4 20 4 16 2 4 2 14 2 6 2 12 2 8 2 10 4 28 6 28 6 28 6 28 4 10 2 8 2 12 2 6 2 14 2 4 2 16 4 20 4 20 5 1 29 6 28 6 28 6 28 6 29 OOEEEEEEEOOOEEEEEEEEEEEEEEEEEEOOEOOEOOOEEEEEOOOEOOEOOEEEEEEEEEEEEEEEEEEOOOEEEEEEEOOOEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEO
6  - CS   (156, 1804) 1 5 18 2 4 2 14 4 24 6 31 1 5 22 4 16 2 4 2 16 4 20 5 1 27 6 30 6 26 4 12 4 26 6 30 6 26 4 12 2 6 2 14 4 24 5 1 32 1 5 24 4 14 4 24 5 1 32 1 5 24 4 14 2 6 2 12 4 26 6 30 6 26 4 12 4 26 6 30 6 27 1 5 20 4 16 2 4 2 16 4 22 5 1 31 6 24 4 14 2 4 2 18 5 1 27 6 30 6 26 6 30 6 28 6 26 4 12 2 8 2 12 4 24 4 14 4 24 5 1 32 1 5 24 4 14 4 24 4 12 2 8 2 12 4 26 6 28 6 30 6 26 6 30 6 27 OOEEEEEEEEOOOEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEOOEOOEEEEEOOEOOEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEOOOEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEOOEOOEEEEEEEEEEEEEEEEEEEEEEO
7  - CS   (166, 1808) 1 5 20 4 20 5 1 29 6 26 4 12 2 8 2 10 2 10 4 27 1 6 1 25 4 12 2 8 2 10 2 10 2 8 2 12 4 25 1 6 1 27 6 30 6 26 6 31 1 5 24 4 12 2 10 4 26 4 12 4 26 6 30 6 26 6 30 6 28 6 27 1 6 1 26 1 6 1 27 6 29 1 5 22 5 1 30 1 5 22 5 1 29 6 27 1 6 1 26 1 6 1 27 6 28 6 30 6 26 6 30 6 26 4 12 4 26 4 10 2 12 4 24 5 1 31 6 26 6 30 6 27 1 6 1 25 4 12 2 8 2 10 2 10 2 8 2 12 4 25 1 6 1 27 4 10 2 10 2 8 2 12 4 26 6 29 OOEEEOOOEEEEEEEEEEEOOEOOEEEEEEEEEEEEEOOEOOEEEEEOOOEEEEEEEEEEEEEEEEEEEEOOEOEOEOOEOOOEOOEOOEOOOEOOEOEOEOOEEEEEEEEEEEEEEEEEEEEOOOEEEEEOOEOOEEEEEEEEEEEEEOOEOOEEEEEEEEEEEO
8  - CS   (166, 1796) 1 5 22 4 16 2 4 2 14 2 6 2 12 2 6 2 14 4 24 5 1 32 1 5 24 5 1 31 6 26 6 30 6 26 6 31 1 5 22 4 18 4 18 4 22 5 1 31 6 26 6 30 6 26 6 31 1 5 24 5 1 32 1 5 24 4 14 2 6 2 12 2 6 2 14 2 4 2 16 4 22 5 1 31 6 24 4 14 2 6 2 12 2 6 2 14 2 4 2 16 4 22 5 1 30 1 5 22 5 1 29 6 28 6 28 6 29 1 5 22 5 1 29 6 28 6 29 1 5 22 5 1 29 6 28 6 28 6 29 1 5 22 5 1 30 1 5 22 4 16 2 4 2 14 2 6 2 12 2 6 2 14 4 24 6 31 OOEEEEEEEEEEEEEEEEEOOEOOEOOOEEEEEEEOOOEEEEEEEOOOEEEEEEEOOOEOOEOOEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEOOEOOEOOOEEEEEOOOEOOOEEEOOOEOOOEEEEEOOOEOOEOOEEEEEEEEEEEEEEEEEEO
9  - CS   (172, 2084) 1 5 20 4 18 4 20 4 18 4 20 4 16 4 24 6 30 6 28 6 28 6 28 6 29 1 5 22 5 1 30 1 5 22 4 16 2 4 2 14 2 6 2 12 4 26 6 30 6 26 6 31 1 5 24 5 1 31 6 26 6 31 1 5 24 5 1 31 6 26 6 30 6 26 4 12 2 6 2 14 2 4 2 16 4 22 5 1 30 1 5 22 5 1 29 6 28 6 28 6 28 6 30 6 24 4 16 4 20 4 18 4 20 4 18 4 20 5 1 28 1 6 1 25 6 32 6 22 4 18 4 20 5 1 29 6 26 4 12 4 27 1 5 20 4 18 4 20 5 1 27 4 12 4 26 6 29 1 5 20 4 18 4 22 6 32 6 25 1 6 1 28 OOEEEEEEEEEEEEEEEEEEEEEEOOOEOOEOOEEEEEEEEEEEEEEEEEEOOOEOOOEEEOOOEOOOEEEEEEEEEEEEEEEEEEOOEOOEOOOEEEEEEEEEEEEEEEEEEEEEEOOEOEOOEEEEEEEEOOOEEEEEOOOEEEEEOOOEEEEEOOOEEEEEEEEOOEOE
10 - CS   (192, 2376) 1 5 18 4 22 4 14 4 25 1 6 1 27 6 30 6 25 1 6 1 29 6 26 4 12 4 26 4 12 4 26 6 30 6 26 6 30 6 27 1 6 1 25 4 14 4 22 4 18 5 1 27 6 30 6 26 6 30 6 26 4 12 4 26 4 12 4 26 6 30 6 26 6 30 6 27 1 6 1 25 4 12 2 8 2 12 4 24 4 14 4 24 4 12 2 8 2 12 4 25 1 6 1 27 6 30 6 26 6 30 6 26 4 12 4 26 4 12 4 26 6 30 6 26 6 30 6 27 1 5 18 4 22 4 14 4 25 1 6 1 27 6 30 6 26 6 30 6 26 4 12 4 26 4 12 4 26 6 29 1 6 1 25 6 30 6 27 1 6 1 25 4 14 4 22 4 18 5 1 27 6 29 1 6 1 24 1 6 1 29 6 27 OOEEEEEEOOEOOEEEOOEOOEEEEEEEEEEEEEEEEEOOEOOEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEOOEOOEEEEEEEEEEEEEEEEEEEOOEOOEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEOOEOOEEEEEEEEEEEEEEEEEOOEOOEEEOOEOOEEEEEEOOOEOOEOEOEOOEO
11 - CS   (194, 2244) 1 5 20 4 20 4 16 4 23 1 6 1 29 6 28 6 27 1 6 1 27 6 28 6 29 1 6 1 23 4 16 4 22 5 1 31 6 24 4 14 2 6 2 12 2 8 2 8 2 14 4 22 4 16 4 22 5 1 30 1 5 22 4 16 4 22 4 14 2 8 2 8 2 12 2 6 2 14 4 24 6 31 1 5 22 4 16 4 23 1 6 1 29 6 28 6 27 1 6 1 27 6 28 6 29 1 6 1 23 4 16 4 20 4 20 5 1 29 6 27 1 6 1 26 1 6 1 27 6 28 6 30 6 26 6 30 6 26 6 31 1 5 22 4 18 4 18 4 20 4 18 4 20 4 18 4 18 4 20 4 18 4 20 4 18 4 18 4 22 5 1 31 6 26 6 30 6 26 6 30 6 28 6 27 1 6 1 26 1 6 1 27 6 29 OOEEEEEEOOEOOEEEOOEOOEEEOOEOOEEEEOOOEEEEEEEEEEEEEEEEEEEEOOEOOEEEEEEEEEEEEEEEEEEEEOOOEEEEOOEOOEEEOOEOOEEEOOEOOEEEEEEOOOEOOEOEOEOOEEEEEEEEEEEOOOEEEEEEEEEEEEEEEEEEEEEEEEEEEOOOEEEEEEEEEEEOOEOEOEOOEO
